period,RBRTE,RWTC,T10Y2Y,VIXCLS,DTWEXBGS,WCESTUS1,RNGWHHD,days_since_opec,RBRTE_log_return,RWTC_log_return,RNGWHHD_log_return,WCESTUS1_w_change,RBRTE1_w_lag,RBRTE4_w_lag,RBRTE12_w_lag,RWTC1_w_lag,RWTC4_w_lag,RWTC12_w_lag,RBRTE_4_rol_vol,RBRTE_12_rol_vol,RWTC_4_rol_vol,RWTC_12_rol_vol,RNGWHHD_4_rol_vol,RNGWHHD_12_rol_vol,RBRTE_RWTC_diff,RBRTE_log_return_rol_z_score,RWTC_log_return_rol_z_score,RNGWHHD_log_return_rol_z_score
2024-05-31,80.92,79.52,-0.38,12.92,122.098,455922,2.03,330.0,0.008438868645864604,0.0011324317032777552,-0.20022276712319492,1233.0,80.24,85.73,85.63,79.43,81.74,79.53,1.1574397032528558,3.8478620588899335,0.5735561582538764,2.5448383588601122,0.2215851980619022,0.34206480867421024,1.4000000000000057,0.2237715050820803,-0.03100551570034121,-1.381195814667226
2024-06-07,76.59,75.53,-0.44,12.22,123.549,459652,2.43,5.0,-0.05499449237804259,-0.05147863402296196,0.1798554642987613,3730.0,80.92,82.95,84.52,79.52,80.26,80.43,2.2376922636203496,4.659844824442238,2.227201158405857,3.2067668745759073,0.20564937798786315,0.37000818991753426,1.0600000000000023,-1.6791917475135296,-1.6310906059425272,1.242131202930042
2024-06-14,80.64,79.24,-0.47,12.66,124.1694,457105,2.73,12.0,0.05152828440155638,0.04795129350499346,0.11641035184441118,-2547.0,76.59,81.61,85.88,75.53,80.61,82.79,2.0243249903773872,4.814454483085217,1.9368531178188044,3.2947515655639985,0.2897556441787752,0.4329908320115434,1.4000000000000057,1.540929391652811,1.4628688405225367,0.7781388834922266
2024-06-21,85.04,82.26,-0.45,13.2,124.1086,460696,2.44,19.0,0.05312692971063403,0.03740374097192798,-0.11230356989175794,3591.0,80.64,80.24,85.8,79.24,79.43,82.73,3.451650571344986,4.801917151860882,2.764107752362603,3.2848646252256946,0.2875615876065346,0.42673087821744193,2.780000000000001,1.695989954360635,1.221474570671212,-0.7948362068552369
2024-06-28,86.72,82.53,-0.35,12.44,124.2103,448539,2.52,26.0,0.019562803657643568,0.003276900802314791,0.03226086221822148,-12157.0,85.04,80.92,90.34,82.26,79.52,86.35,4.560434007123939,4.50744728872213,3.266935363099638,2.964215236735601,0.13928388277226983,0.4345208088611168,4.189999999999998,0.6254742473922564,0.10393735347297137,0.20351987579663014
2024-07-05,88.02,84.61,-0.32,12.48,123.4762,445096,2.08,33.0,0.014879523691609331,0.02489059933181663,-0.19189100781010526,-3443.0,86.72,76.59,92.01,82.53,75.53,86.5,3.216929177543676,3.998528896148654,2.2117715373287035,2.707447081102088,0.27084743553051416,0.4152947109820716,3.4099999999999966,0.45609135005599244,0.7906469539953215,-1.3092870363346136
2024-07-12,86.8,83.44,-0.27,12.46,122.4404,440226,2.26,40.0,-0.013957439716640879,-0.013924652243892539,0.08299691957096783,-4870.0,88.02,80.64,89.59,84.61,79.24,84.65,1.2242412616248521,3.706916038319991,1.0611000581176393,2.5887663787284616,0.19621416870380973,0.3579190699111253,3.3599999999999994,-0.48465430047778185,-0.5145073095758792,0.5647406779572802
2024-07-19,86.05,82.98,-0.24,16.52,123.147,436485,2.02,47.0,-0.008678099008756037,-0.005528195787795136,-0.11226730187108105,-3741.0,86.8,85.04,88.53,83.44,82.26,84.48,0.8204216395639281,3.4717355497323243,0.8941662783494153,2.4449172694682244,0.22449944320672827,0.29975242309529204,3.069999999999993,-0.3797343892145394,-0.2804716087976724,-0.765548730181143
2024-07-26,82.52,79.26,-0.16,16.39,123.672,433049,2.06,54.0,-0.04188783445449735,-0.04586602714243283,0.019608471388376337,-3436.0,86.05,86.72,85.73,82.98,82.53,81.74,2.362221764920687,3.402433621021438,2.3124788287327798,2.482361259817137,0.10630145812798292,0.24261204846542425,3.259999999999991,-1.4759557353636532,-1.6327623503717532,0.1359255771123634
2024-08-02,80.26,77.11,-0.08,23.39,123.4681,429321,1.9,61.0,-0.027769323364280313,-0.027500613917419724,-0.08085209662909502,-3728.0,82.52,88.02,82.95,79.26,84.61,80.26,3.065195752313181,3.5056537668936825,3.0368665320256634,2.7021484157248943,0.14966629547141544,0.2542904566900217,3.1500000000000057,-0.9732828767189794,-0.9806906810171349,-0.5319484945458334
2024-08-09,78.84,76.33,-0.11,20.37,122.9276,430678,1.88,68.0,-0.017850882554251206,-0.010166928034490324,-0.010582109330536972,1357.0,80.26,86.8,81.61,77.11,83.44,80.61,3.1442473927262564,3.6884019698118116,2.9767655825304447,2.96247541864217,0.08850612031647323,0.27766750336369267,2.510000000000005,-0.6204737866172766,-0.37493341960398785,-0.05677479228060217
2024-08-16,82.47,79.49,-0.17,14.8,122.3972,426029,2.13,75.0,0.04501410856074449,0.04056518177464225,0.124850202879476,-4649.0,78.84,86.05,80.24,76.33,82.98,79.43,1.7965221030274163,3.607379956633025,1.5684041783517515,2.961132563835087,0.12203141672047538,0.2678986692196907,2.980000000000004,1.4555669011114585,1.3189237194989825,0.842158119251197
2024-08-23,79.57,74.68,-0.09,15.86,121.4597,425183,2.04,82.0,-0.03579745345582061,-0.062418908911499205,-0.043172171865208664,-846.0,82.47,82.52,80.92,79.49,79.26,79.52,1.5678116383459089,3.694928547306365,2.0004561979720226,3.363258250655835,0.1187083260214148,0.2673140815254641,4.889999999999986,-1.2215734934208367,-2.0917581890486217,-0.29747906830573784
2024-08-30,80.83,76.36,0.0,15.0,122.3262,418310,1.94,89.0,0.015711046356309585,0.02224668018402485,-0.05026183478088831,-6873.0,79.57,80.26,76.59,74.68,77.11,75.53,1.5905214029785493,3.2200037643497805,2.0096517111192935,3.275102010902358,0.11026483271411966,0.2676610248848515,4.469999999999999,0.4829389038679987,0.6907045661968151,-0.3370183526927206
2024-09-06,75.25,70.02,0.06,22.38,122.4991,419143,2.02,96.0,-0.07153228011676785,-0.0866780833310273,0.0404095383378767,833.0,80.83,78.84,80.64,76.36,76.33,79.24,3.0905015774142117,3.9046082913774427,3.951239257077654,4.341138221780616,0.07804912982733903,0.20231051740957795,5.230000000000004,-2.296281320651309,-2.7093774413500418,0.2899497832695643
2024-09-13,72.1,68.82,0.09,16.56,121.6551,417513,2.13,103.0,-0.04276185933808182,-0.017286515157185316,0.0530244683082204,-1630.0,75.25,82.47,85.04,70.02,79.49,82.26,4.01375447679605,4.867066427126641,3.621288904981013,5.113698996249287,0.07804912982733903,0.17377275303382786,3.280000000000001,-1.348184705303376,-0.5367014292242119,0.3859069391750667
2024-09-20,74.98,72.14,0.18,16.15,121.4052,413042,2.26,110.0,0.03916736701686273,0.04711427510605881,0.05924283356286076,-4471.0,72.1,79.57,86.72,68.82,74.68,82.53,3.6499041083295074,4.928083637006999,3.314267138700799,5.150737517064478,0.13889444433382775,0.12291904209306717,2.8400000000000034,1.2560346615984914,1.4590789193189115,0.4195353797523734
2024-09-27,74.07,70.22,0.2,16.96,121.1111,416931,2.56,117.0,-0.012210819282568293,-0.02697550473510676,0.12464244520727678,3889.0,74.98,80.83,88.02,72.14,76.36,84.61,1.42569281403851,4.667615379756163,1.373656919808869,4.913851402521165,0.23329166294604362,0.1898803450979885,3.8499999999999943,-0.3553325447278875,-0.812550558003767,0.8503946717808436
2024-10-04,75.88,71.83,0.05,19.21,122.2197,422741,2.66,124.0,0.024142553041615607,0.02266904534642398,0.0383188643021366,5810.0,74.07,75.25,86.8,70.22,70.02,83.44,1.6170420526383968,4.145720319763505,1.538860509166465,4.412612776479504,0.24878035828174055,0.2470308531828114,4.049999999999997,0.7973162216576646,0.7340609244692522,0.25668612781062705
